YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2011,14,135400,7900,Autotrader
1997,28,110733,5955,Autotrader
2010,15,41800,10500,Autotrader
2000,25,145000,8000,Autotrader 
2009,16,163250,6995,Autotrader
2007,18,130392,5250,Autotrader 
2003,22,221920,3995,Autotrader 
2008,17,83000,6000,Craigslist 
2006,19,91000,5300,Craigslist 
2004,21,65126,5499,CARFAX
2005,20,174262,6549,CARFAX
2021,24,164000,4000,Offer Up 
2002,23,145000,3000,Offer Up 
1998,27,155536,1000,Offer Up
1994,31,211122,3000,Offer Up 
1999,,200000,1900,Offer Up 